country,region,surface_area,population_in_thousands_2017,population_density_per_km2_2017,sex_ratio_m_per_100_f_2017,gross_domestic_product_million_current_us$,gdp_growth_rate_annual_percentage_const_2005_prices,gdp_per_capita_current_us$,economy_agriculture_percent_of_gva,economy_industry_percent_of_gva,economy_services_and_other_activity_percent_of_gva,employment_agriculture_percent_of_employed,employment_industry_percent_of_employed,employment_services_percent_of_employed,unemployment_percent_of_labour_force,agricultural_production_index,food_production_index,international_trade_exports_million_us$,international_trade_imports_million_us$,international_trade_balance_million_us$,balance_of_payments_current_account_million_us$,population_growth_rate_average_annual_percent,urban_population_percent_of_total_population,urban_population_growth_rate_average_annual_percent,fertility_rate_total_live_births_per_woman,un_population_density_per_km2_2017,un_sex_ratio_m_per_100_f,un_gross_domestic_product_million_current_us$,un_fertility_rate_total_live_births_per_woman
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,143.4,99.4,4086,4.7
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,104.9,97,717888,2.1
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,214.5,99,25282,5.9
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,76.3,86,90615,1.5
Vanuatu,Melanesia,12189,276,22.7,102.4,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123,122,50,416,-366,-82,2.3,26.1,3.4,3.4,22.7,102.4,737,3.4
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136,137,570,6861,-6291,-3026,2.6,34.6,4,4.4,53.5,102.1,29688,4.4
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179,180,6505,7442,-937,-768,3,40.9,4.3,5.2,23,98.5,21255,5.2
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4,42.7,95,13893,4
Cote D'Ivoire,WesternAfrica,322463,24295,76.4,102.7,32076,9.5,1412.9,23.7,28.3,48.1,56,5.7,38.4,9.3,122,123,10661,8380,2281,-633,2.5,54.2,3.7,5.1,,,,
Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,5.2,,,,
United States,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,,,,
Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,,,,
Vietnam,South-easternAsia,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,2520,906,1.1,33.6,3,2,,,,
The Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104,104,5103,5906,-803,-1546,3.3,42.5,4,6.4,,,,
Myanmar (Burma),South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,,,,
Virgin Islands,Caribbean,347,105,299.7,91.1,-99,-99,-99,-99,-99,-99,10.9,24,65.2,9,109,109,-99,-99,-99,-99,-0.2,95.3,0.3,2.3,,,,
Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,1.3,,,,
Bolivia,SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,3,,,,
